Date	Hour	Effectif
19/12/2023	15	0
19/12/2023	16	0
19/12/2023	17	37
19/12/2023	18	35
19/12/2023	19	147
19/12/2023	20	136
19/12/2023	21	63
19/12/2023	22	121
19/12/2023	23	125
20/12/2023	0	7
20/12/2023	1	6
20/12/2023	2	25
20/12/2023	3	1
20/12/2023	4	7
20/12/2023	5	21
20/12/2023	6	0
20/12/2023	7	21
20/12/2023	8	2
20/12/2023	9	0
20/12/2023	10	6
20/12/2023	11	0
20/12/2023	12	0
20/12/2023	13	0
20/12/2023	14	0
20/12/2023	15	20
20/12/2023	16	261
20/12/2023	17	93
20/12/2023	18	11
20/12/2023	19	47
20/12/2023	20	15
20/12/2023	21	5
20/12/2023	22	21
20/12/2023	23	4
21/12/2023	0	24
21/12/2023	1	10
21/12/2023	2	71
21/12/2023	3	80
21/12/2023	4	8
21/12/2023	5	16
21/12/2023	6	0
21/12/2023	7	0
21/12/2023	8	0
21/12/2023	9	0
21/12/2023	10	0
21/12/2023	11	0
21/12/2023	12	0
21/12/2023	13	0
21/12/2023	14	0
21/12/2023	15	0
21/12/2023	16	0
21/12/2023	17	47
21/12/2023	18	40
21/12/2023	19	100
21/12/2023	20	9
21/12/2023	21	19
21/12/2023	22	36
21/12/2023	23	26
22/12/2023	0	23
22/12/2023	1	22
22/12/2023	2	79
22/12/2023	3	93
22/12/2023	4	129
22/12/2023	5	233
22/12/2023	6	87
22/12/2023	7	105
22/12/2023	8	12
22/12/2023	9	1
22/12/2023	10	0
22/12/2023	11	0
22/12/2023	12	0
22/12/2023	13	0
22/12/2023	14	6
22/12/2023	15	13
22/12/2023	16	58
22/12/2023	17	116
22/12/2023	18	167
22/12/2023	19	170
22/12/2023	20	155
22/12/2023	21	165
22/12/2023	22	109
22/12/2023	23	249
23/12/2023	0	407
23/12/2023	1	129
23/12/2023	2	169
23/12/2023	3	76
23/12/2023	4	76
23/12/2023	5	26
23/12/2023	6	40
23/12/2023	7	179
23/12/2023	8	9
23/12/2023	9	18
23/12/2023	10	2
23/12/2023	11	8
23/12/2023	12	1
23/12/2023	13	17
23/12/2023	14	6
23/12/2023	15	15
23/12/2023	16	11
23/12/2023	17	111
23/12/2023	18	95
23/12/2023	19	86
23/12/2023	20	104
23/12/2023	21	34
23/12/2023	22	9
23/12/2023	23	10
24/12/2023	0	22
24/12/2023	1	87
24/12/2023	2	24
24/12/2023	3	17
24/12/2023	4	25
24/12/2023	5	52
24/12/2023	6	60
24/12/2023	7	20
24/12/2023	8	5
24/12/2023	9	0
24/12/2023	10	0
24/12/2023	11	0
24/12/2023	12	0
24/12/2023	13	0
24/12/2023	14	0
24/12/2023	15	0
24/12/2023	16	4
24/12/2023	17	1
24/12/2023	18	42
24/12/2023	19	33
24/12/2023	20	27
24/12/2023	21	12
24/12/2023	22	24
24/12/2023	23	21
25/12/2023	0	10
25/12/2023	1	40
25/12/2023	2	100
25/12/2023	3	44
25/12/2023	4	43
25/12/2023	5	57
25/12/2023	6	47
25/12/2023	7	12
25/12/2023	8	1
25/12/2023	9	0
25/12/2023	10	0
25/12/2023	11	0
25/12/2023	12	0
25/12/2023	13	0
25/12/2023	14	0
25/12/2023	15	1
25/12/2023	16	0
25/12/2023	17	209
25/12/2023	18	51
25/12/2023	19	63
25/12/2023	20	28
25/12/2023	21	15
25/12/2023	22	2
25/12/2023	23	5
26/12/2023	0	22
26/12/2023	1	18
26/12/2023	2	4
26/12/2023	3	0
26/12/2023	4	6
26/12/2023	5	0
26/12/2023	6	80
26/12/2023	7	53
26/12/2023	8	4
26/12/2023	9	0
